Ax(0-1),Ay(0-1),Az(0-1),X(0-1),Y(0-1),Gx(0-1),Gy(0-1),Gz(0-1),Kelas
0.44470111,0.711803643,0.919574489,0.765282949,0.575849931,0.496511445,0.526710614,0.531362345,Baring
0.448676295,0.752148859,0.928877515,0.765282949,0.572507843,0.545565258,0.523790844,0.508028935,Baring
0.444394363,0.708603307,0.920547945,0.720220524,0.576101871,0.552542714,0.526893129,0.521817238,Baring
0.399459124,0.253036384,0.67946209,0.183484181,0.616030303,0.520615499,0.54532373,0.395605083,Duduk
0.461972818,0.785236484,0.9452958,0.798665624,0.56161058,0.546093883,0.564849305,0.45182,Baring
0.370725111,0.177041526,0.596407246,0.073777695,0.641675756,0.538164914,0.492768943,0.56636246,Duduk
0.484440438,0.844154141,0.876692258,0.864513416,0.541367558,0.565651923,0.502988019,0.568483363,Baring
0.401449847,0.241511678,0.57533243,0.108971743,0.617758339,0.774764975,0.530360207,0.167575675,Duduk
0.489479845,0.879165464,0.955592353,0.891242728,0.539749649,0.649804636,0.518316454,0.848482891,Baring
0.43109784,0.441961124,0.783350896,0.412280555,0.588386963,0.912517376,0.533644889,0.041363519,Duduk
0.480772,1,0.987435396,1,0.548067992,0.375145538,0.469046349,0.653331305,Baring
0.428806631,0.58926401,0.846555271,0.585754539,0.590211715,0.852574457,0.413936942,0,Duduk
0.455856668,0.756206116,0.922264037,0.76949751,0.566490302,0.523719807,0.540761679,0.568483363,Baring
0.461359325,0.780759511,0.91590145,0.795077066,0.561821372,0.550322611,0.524155875,0.523938142,Baring
0.452063027,0.762545579,0.90812384,0.776251381,0.569638039,0.515593625,0.527647455,0.54924379,Baring
0.448394589,0.746963616,0.920618195,0.759933826,0.572746097,0.515170738,0.530749621,0.522728678,Baring
0.429294921,0.761268942,0.922826032,0.774716842,0.58874361,0.497938471,0.51907078,0.588486406,Baring
0.485078972,0.764469278,0.898569923,0.778394829,0.541312817,0.520350979,0.558851871,0.462274945,Baring
0.471475701,0.778346143,0.909107331,0.792763149,0.553171181,0.492652492,0.538048927,0.53121368,Baring
0.452063027,0.792004407,1,0.80332179,0.569832666,0.551538229,0.516881072,0.520607775,Baring
0.426233716,0.117625456,0.726087611,0.100800461,0.589873989,0.391373251,0.541516124,0.694546854,Duduk
0.424856486,0.329608352,0.830207236,0.322952336,0.591928729,0.930436566,0.498267955,0.704091961,DB
0.4948573,0.798833539,0.87553816,0.815873988,0.532085358,0.452056204,0.540238755,0.817576613,Baring
0.477742095,0.758916783,0.902975563,0.772487447,0.547699128,0.540437644,0.584946689,0.5004858,Baring
0.37488184,0.529428224,0.914737317,0.539447705,0.632656518,0,0.470348221,0.540759482,BD
0.422108288,0.062117993,0.699864519,0.048025138,0.592599774,0.526376992,0.588778798,0.53757778,Duduk
0.41798286,0.811188933,0.898810778,0.827503087,0.598776396,0.520033831,0.508669308,1,Baring
0.460777133,0.717286185,0.927723418,0.729444853,0.562425367,0.502378677,0.532574418,0.571516401,Baring
0.470248715,0.692522931,0.931647348,0.704286484,0.55462606,0.519610944,0.524727804,0.530152881,Baring
0.473153417,0.790937628,0.851532942,0.808606968,0.550522089,0.564541699,0.585494236,0.378487108,Baring
0.439223493,0.144740869,0.743479352,0.129635551,0.57985149,0.475103076,0.483669344,0.986212392,BD
0.430359144,0.065746789,0,0.081735297,0.585869122,0.526588401,0.530019679,0.511062668,Duduk
0.382068473,0.748458855,0.86720859,0.761444148,0.631363017,1,0.549545253,0.932274202,DB
0.443655668,0.758916783,0.902975563,0.772497894,0.576810022,0.448356032,0.549545253,0.616062317,Baring
0.457108695,0.670540297,0.927231672,0.681512627,0.565499258,0.551115342,0.526005174,0.511062668,Baring
0.422872024,0.708323496,0.957368659,0.721460026,0.593358533,0.01300347,0.546990514,0.911970356,BD
0.409268754,0.039706898,0.676100156,0.020442371,0.602261491,0.440427064,0.548997826,0.620304124,Duduk
0.392767042,0.832349624,0.873089468,0.851977047,0.62142805,0.932339521,0.36888836,0.622425721,DB
0.454354236,0.702342541,0.921842541,0.713818671,0.567752116,0.455967854,0.559399298,0.5725772,Baring
0.440907469,0.629757876,0.928215164,0.640200207,0.578916657,0.514113487,0.529289856,0.543941184,Baring
0.449158325,0.680141304,0.923317778,0.69104972,0.572103342,0.531980119,0.511589078,0.503638464,Baring
0.445953137,0.432508766,0.832906819,0.420020361,0.574853008,0.086055598,0.541333609,0.262881552,BD
0.422565278,0.058069481,0.682713633,0.03533571,0.592412311,0.578390942,0.499180294,0.638334928,Duduk
0.422721781,0,0.684680616,0,0.591410153,0.75303939,0.495713216,0.238487344,DB
0.484158732,0.790509168,0.894164283,0.806102321,0.541993597,0.4512105,0.576062594,0.291517568,Baring
0.454817486,0.717714645,0.909839932,0.729297335,0.567309774,0.507981804,0.532392022,0.536516981,Baring
0.457565684,0.716857725,0.925766471,0.728939144,0.565086032,0.514853591,0.531297048,0.530152881,Baring
0.458329421,0.708323496,0.911796879,0.719565397,0.564322221,0.516122181,0.526735117,0.515304474,Baring
0.43815927,0.020705998,0.671694516,0.004388671,0.580319825,0.501744381,0.509946797,0.840910022,Duduk
0.500359958,0.534118552,0.945857795,0.549566958,0.531391168,0.96109519,0.498632867,0.287275066,DB
0.842119431,0.748651225,0.66431833,0.761672864,0.203856347,0.499205192,0.077007324,0.656625548,Error
1,0.739688536,0.379858498,0.752325551,0,0.512631549,0.535036525,0.554438718,Error
0.998773014,0.755698959,0.396527673,0.768995441,0.008180846,0.516543198,0.532664301,0.497166687,Error
0.864130061,0.74438411,0.716503588,0.757437093,0.207198343,0.525635019,0.823175215,0.703983589,Error
0.200668582,0.715353742,0.811571077,0.726337154,0.792141909,0.501213817,0.918065713,0.597923835,Error
0.025672808,0.74481257,0.643243514,0.757663911,0.967246858,0.511785775,0.564781055,0.533226906,Error
0,0.741612235,0.596939134,0.754284443,1,0.513582992,0.531751843,0.533226906,Error
0.726995574,0.735421421,0.777761052,0.747466467,0.822719438,0.517071755,0,0.475954181,Error
